# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.025         	(3.176425e+02 8.204568e-02 -3.710736e-17)	(3.140330e+02 7.836632e-02 -5.205077e-17)	(3.609531e+00 3.679360e-03 1.494341e-17)
0.05          	(-1.133044e+02 -5.421507e-02 9.976723e-18)	(-1.170781e+02 -5.090995e-02 1.273908e-17)	(3.773608e+00 -3.305122e-03 -2.762356e-18)
0.075         	(8.392521e+01 -1.752277e-01 -6.723551e-18)	(8.074577e+01 -1.717148e-01 -8.501466e-18)	(3.179442e+00 -3.512901e-03 1.777914e-18)
0.1           	(-3.315582e+01 9.364810e-02 4.373365e-18)	(-3.567135e+01 9.694575e-02 5.973565e-18)	(2.515537e+00 -3.297647e-03 -1.600200e-18)
0.125         	(1.408560e+01 -7.689850e-03 -2.392388e-19)	(1.206327e+01 -5.577084e-03 -3.066332e-19)	(2.022324e+00 -2.112766e-03 6.739441e-20)
0.15          	(-1.193431e+01 2.717075e-02 1.901422e-18)	(-1.361841e+01 2.788125e-02 2.516896e-18)	(1.684094e+00 -7.104984e-04 -6.154743e-19)
0.175         	(2.082156e+00 1.675639e-02 4.349762e-19)	(6.197325e-01 1.688548e-02 5.727118e-19)	(1.462423e+00 -1.290879e-04 -1.377356e-19)
0.2           	(-3.437652e+00 9.299367e-03 8.178480e-19)	(-4.754827e+00 9.125698e-03 1.066089e-18)	(1.317175e+00 1.736686e-04 -2.482411e-19)
0.225         	(8.225249e-01 2.250836e-02 3.440027e-19)	(-3.948628e-01 2.216390e-02 4.493826e-19)	(1.217388e+00 3.444586e-04 -1.053799e-19)
0.25          	(-8.425945e-02 1.737863e-02 3.814783e-19)	(-1.229868e+00 1.689553e-02 4.972686e-19)	(1.145609e+00 4.831031e-04 -1.157903e-19)
0.275         	(1.149906e+00 1.683084e-02 2.252028e-19)	(5.927560e-02 1.625100e-02 2.938404e-19)	(1.090631e+00 5.798376e-04 -6.863757e-20)
0.3           	(1.069348e+00 1.156398e-02 2.085726e-19)	(2.338145e-02 1.094305e-02 2.719203e-19)	(1.045966e+00 6.209225e-04 -6.334764e-20)
0.325         	(1.428744e+00 1.133307e-02 1.503779e-19)	(4.205072e-01 1.071412e-02 1.960678e-19)	(1.008237e+00 6.189547e-04 -4.568988e-20)
0.35          	(1.441215e+00 5.889351e-03 1.314539e-19)	(4.658600e-01 5.282819e-03 1.712120e-19)	(9.753552e-01 6.065318e-04 -3.975809e-20)
0.375         	(1.556261e+00 5.688018e-03 1.052618e-19)	(6.101130e-01 5.116210e-03 1.369919e-19)	(9.461485e-01 5.718080e-04 -3.173010e-20)
0.4           	(1.582188e+00 2.459002e-03 9.101343e-20)	(6.623714e-01 1.950523e-03 1.182677e-19)	(9.198171e-01 5.084792e-04 -2.725429e-20)
0.425         	(1.624854e+00 1.571266e-03 7.700380e-20)	(7.289572e-01 1.132299e-03 9.995942e-20)	(8.958965e-01 4.389670e-04 -2.295561e-20)
0.45          	(1.620360e+00 8.535852e-04 6.723915e-20)	(7.462441e-01 4.802888e-04 8.710168e-20)	(8.741162e-01 3.732963e-04 -1.986253e-20)
0.475         	(1.630035e+00 8.198962e-04 5.875994e-20)	(7.758619e-01 4.970084e-04 7.598569e-20)	(8.541735e-01 3.228878e-04 -1.722575e-20)
0.5           	(1.630170e+00 1.089257e-04 5.204904e-20)	(7.943416e-01 -1.715015e-04 6.717740e-20)	(8.358289e-01 2.804272e-04 -1.512836e-20)
0.525         	(1.633003e+00 2.084214e-04 4.616812e-20)	(8.141066e-01 -3.718539e-05 5.946790e-20)	(8.188960e-01 2.456068e-04 -1.329978e-20)
0.55          	(1.632031e+00 -3.514832e-04 4.140348e-20)	(8.288122e-01 -5.658522e-04 5.321823e-20)	(8.032185e-01 2.143690e-04 -1.181475e-20)
0.575         	(1.631288e+00 -2.212339e-04 3.728675e-20)	(8.426290e-01 -4.093063e-04 4.782841e-20)	(7.886591e-01 1.880724e-04 -1.054166e-20)
0.6           	(1.629436e+00 -1.611105e-04 3.388991e-20)	(8.543334e-01 -3.284140e-04 4.338423e-20)	(7.751031e-01 1.673035e-04 -9.494322e-21)
0.625         	(1.628103e+00 -4.888976e-05 3.095439e-20)	(8.656515e-01 -2.005203e-04 3.955116e-20)	(7.624513e-01 1.516305e-04 -8.596769e-21)
0.65          	(1.626207e+00 -1.215784e-04 2.847477e-20)	(8.755900e-01 -2.608653e-04 3.631152e-20)	(7.506168e-01 1.392869e-04 -7.836750e-21)
0.675         	(1.624583e+00 -1.329314e-04 2.635879e-20)	(8.850631e-01 -2.612897e-04 3.354834e-20)	(7.395204e-01 1.283583e-04 -7.189545e-21)
