# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
120.025       	(-2.299305e-03 9.457285e+00 6.859534e-03)	(-2.601807e-03 9.462770e+00 8.073746e-03)	(3.025025e-04 -5.485383e-03 -1.214212e-03)
120.05        	(-2.224634e-03 9.457127e+00 7.519498e-03)	(-2.524418e-03 9.462612e+00 8.730628e-03)	(2.997845e-04 -5.485419e-03 -1.211131e-03)
120.075       	(-2.347564e-03 9.457165e+00 7.108399e-03)	(-2.644307e-03 9.462650e+00 8.315469e-03)	(2.967427e-04 -5.485395e-03 -1.207070e-03)
120.1         	(-2.320218e-03 9.457220e+00 7.050653e-03)	(-2.613954e-03 9.462705e+00 8.254626e-03)	(2.937360e-04 -5.485474e-03 -1.203973e-03)
120.125       	(-2.316750e-03 9.457207e+00 7.059142e-03)	(-2.607759e-03 9.462692e+00 8.259985e-03)	(2.910093e-04 -5.485595e-03 -1.200843e-03)
120.15        	(-2.410159e-03 9.457413e+00 6.814375e-03)	(-2.698061e-03 9.462898e+00 8.012409e-03)	(2.879018e-04 -5.485294e-03 -1.198033e-03)
120.175       	(-2.357580e-03 9.457204e+00 6.854389e-03)	(-2.642646e-03 9.462689e+00 8.049345e-03)	(2.850661e-04 -5.485374e-03 -1.194956e-03)
120.2         	(-2.378232e-03 9.457171e+00 6.663356e-03)	(-2.660625e-03 9.462656e+00 7.855351e-03)	(2.823937e-04 -5.485581e-03 -1.191994e-03)
120.225       	(-2.426405e-03 9.457176e+00 6.616270e-03)	(-2.705903e-03 9.462662e+00 7.805344e-03)	(2.794979e-04 -5.485776e-03 -1.189073e-03)
120.25        	(-2.462020e-03 9.457175e+00 6.454351e-03)	(-2.738484e-03 9.462661e+00 7.640648e-03)	(2.764642e-04 -5.485878e-03 -1.186297e-03)
120.275       	(-2.503988e-03 9.457469e+00 6.375834e-03)	(-2.777312e-03 9.462954e+00 7.559342e-03)	(2.733238e-04 -5.485525e-03 -1.183508e-03)
120.3         	(-2.436971e-03 9.457025e+00 6.340543e-03)	(-2.707670e-03 9.462511e+00 7.521001e-03)	(2.706989e-04 -5.485848e-03 -1.180458e-03)
120.325       	(-2.607939e-03 9.457410e+00 6.071738e-03)	(-2.875319e-03 9.462896e+00 7.249645e-03)	(2.673806e-04 -5.485767e-03 -1.177907e-03)
120.35        	(-2.433611e-03 9.457209e+00 6.272106e-03)	(-2.698492e-03 9.462695e+00 7.446680e-03)	(2.648807e-04 -5.485771e-03 -1.174573e-03)
120.375       	(-2.653426e-03 9.457364e+00 5.812435e-03)	(-2.915096e-03 9.462849e+00 6.984478e-03)	(2.616706e-04 -5.485721e-03 -1.172043e-03)
120.4         	(-2.551243e-03 9.457208e+00 6.050116e-03)	(-2.809948e-03 9.462694e+00 7.218973e-03)	(2.587043e-04 -5.485861e-03 -1.168856e-03)
120.425       	(-2.583537e-03 9.457220e+00 5.730103e-03)	(-2.839568e-03 9.462706e+00 6.896073e-03)	(2.560306e-04 -5.486063e-03 -1.165969e-03)
120.45        	(-2.630730e-03 9.457217e+00 5.777096e-03)	(-2.883827e-03 9.462703e+00 6.940040e-03)	(2.530972e-04 -5.486199e-03 -1.162944e-03)
120.475       	(-2.702448e-03 9.457498e+00 5.540365e-03)	(-2.952275e-03 9.462984e+00 6.700539e-03)	(2.498269e-04 -5.485879e-03 -1.160174e-03)
120.5         	(-2.588592e-03 9.457144e+00 5.650638e-03)	(-2.835877e-03 9.462630e+00 6.807503e-03)	(2.472858e-04 -5.486089e-03 -1.156865e-03)
120.525       	(-2.800263e-03 9.457329e+00 5.236259e-03)	(-3.044189e-03 9.462815e+00 6.390644e-03)	(2.439260e-04 -5.486187e-03 -1.154385e-03)
120.55        	(-2.604615e-03 9.457354e+00 5.528843e-03)	(-2.846020e-03 9.462840e+00 6.679822e-03)	(2.414049e-04 -5.486105e-03 -1.150979e-03)
120.575       	(-2.851021e-03 9.457358e+00 5.021117e-03)	(-3.089107e-03 9.462844e+00 6.169525e-03)	(2.380852e-04 -5.486054e-03 -1.148407e-03)
120.6         	(-2.676511e-03 9.457250e+00 5.352785e-03)	(-2.911871e-03 9.462737e+00 6.497739e-03)	(2.353593e-04 -5.486218e-03 -1.144954e-03)
120.625       	(-2.771128e-03 9.457268e+00 4.899873e-03)	(-3.003824e-03 9.462754e+00 6.042055e-03)	(2.326965e-04 -5.486411e-03 -1.142183e-03)
120.65        	(-2.889651e-03 9.457447e+00 4.981654e-03)	(-3.118862e-03 9.462933e+00 6.120975e-03)	(2.292111e-04 -5.486235e-03 -1.139321e-03)
120.675       	(-2.818783e-03 9.457316e+00 4.819877e-03)	(-3.044946e-03 9.462802e+00 5.956161e-03)	(2.261634e-04 -5.486266e-03 -1.136285e-03)
120.7         	(-2.817134e-03 9.457272e+00 4.800985e-03)	(-3.040649e-03 9.462759e+00 5.934102e-03)	(2.235146e-04 -5.486479e-03 -1.133117e-03)
120.725       	(-2.937114e-03 9.457497e+00 4.555115e-03)	(-3.157441e-03 9.462983e+00 5.685461e-03)	(2.203274e-04 -5.486362e-03 -1.130346e-03)
120.75        	(-2.854532e-03 9.457318e+00 4.669029e-03)	(-3.072048e-03 9.462804e+00 5.796103e-03)	(2.175154e-04 -5.486387e-03 -1.127075e-03)
120.775       	(-2.886604e-03 9.457292e+00 4.420462e-03)	(-3.101453e-03 9.462779e+00 5.544498e-03)	(2.148493e-04 -5.486629e-03 -1.124036e-03)
120.8         	(-2.947649e-03 9.457322e+00 4.406871e-03)	(-3.159485e-03 9.462809e+00 5.527876e-03)	(2.118359e-04 -5.486760e-03 -1.121005e-03)
120.825       	(-3.032027e-03 9.457527e+00 4.191195e-03)	(-3.240425e-03 9.463013e+00 5.309446e-03)	(2.083978e-04 -5.486527e-03 -1.118251e-03)
120.85        	(-2.952001e-03 9.457340e+00 4.252548e-03)	(-3.157516e-03 9.462827e+00 5.367610e-03)	(2.055148e-04 -5.486569e-03 -1.115062e-03)
120.875       	(-2.974375e-03 9.457329e+00 4.062275e-03)	(-3.177237e-03 9.462816e+00 5.174244e-03)	(2.028620e-04 -5.486792e-03 -1.111969e-03)
120.9         	(-3.028790e-03 9.457345e+00 3.998179e-03)	(-3.228708e-03 9.462832e+00 5.107094e-03)	(1.999181e-04 -5.486906e-03 -1.108915e-03)
