# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
12.025        	(2.930060e+01 4.993226e-03 1.036626e-21)	(2.923097e+01 4.597890e-03 0.000000e+00)	(6.962670e-02 3.953362e-04 1.036626e-21)
12.05         	(2.929958e+01 5.065025e-03 1.033284e-21)	(2.922954e+01 4.667247e-03 0.000000e+00)	(7.004931e-02 3.977776e-04 1.033284e-21)
12.075        	(2.930109e+01 4.986708e-03 1.030087e-21)	(2.923065e+01 4.587478e-03 0.000000e+00)	(7.044229e-02 3.992299e-04 1.030087e-21)
12.1          	(2.929722e+01 4.945747e-03 1.027167e-21)	(2.922642e+01 4.545080e-03 0.000000e+00)	(7.080438e-02 4.006671e-04 1.027167e-21)
12.125        	(2.929441e+01 4.852919e-03 1.024072e-21)	(2.922327e+01 4.450206e-03 0.000000e+00)	(7.113498e-02 4.027129e-04 1.024072e-21)
12.15         	(2.928777e+01 5.062538e-03 1.020978e-21)	(2.921634e+01 4.656653e-03 0.000000e+00)	(7.143176e-02 4.058850e-04 1.020978e-21)
12.175        	(2.928277e+01 4.716318e-03 1.017926e-21)	(2.921107e+01 4.308860e-03 0.000000e+00)	(7.170115e-02 4.074578e-04 1.017926e-21)
12.2          	(2.927076e+01 4.987684e-03 1.014986e-21)	(2.919882e+01 4.578441e-03 0.000000e+00)	(7.193950e-02 4.092436e-04 1.014986e-21)
12.225        	(2.926327e+01 4.790905e-03 1.011981e-21)	(2.919112e+01 4.379325e-03 0.000000e+00)	(7.215144e-02 4.115801e-04 1.011981e-21)
12.25         	(2.925472e+01 5.056049e-03 1.008950e-21)	(2.918238e+01 4.641260e-03 0.000000e+00)	(7.233975e-02 4.147883e-04 1.008950e-21)
12.275        	(2.924763e+01 4.840919e-03 1.005914e-21)	(2.917512e+01 4.423796e-03 0.000000e+00)	(7.250633e-02 4.171231e-04 1.005914e-21)
12.3          	(2.923720e+01 5.085975e-03 1.002794e-21)	(2.916454e+01 4.666685e-03 0.000000e+00)	(7.265658e-02 4.192894e-04 1.002794e-21)
12.325        	(2.922753e+01 4.966072e-03 9.996524e-22)	(2.915475e+01 4.544662e-03 0.000000e+00)	(7.278560e-02 4.214103e-04 9.996524e-22)
12.35         	(2.921626e+01 5.100746e-03 9.966281e-22)	(2.914338e+01 4.676675e-03 0.000000e+00)	(7.288210e-02 4.240705e-04 9.966281e-22)
12.375        	(2.920305e+01 4.922246e-03 9.936340e-22)	(2.913010e+01 4.496255e-03 0.000000e+00)	(7.294597e-02 4.259910e-04 9.936340e-22)
12.4          	(2.919144e+01 5.042548e-03 9.907478e-22)	(2.911846e+01 4.614493e-03 0.000000e+00)	(7.298480e-02 4.280550e-04 9.907478e-22)
12.425        	(2.917421e+01 4.715722e-03 9.880553e-22)	(2.910121e+01 4.286817e-03 0.000000e+00)	(7.299263e-02 4.289046e-04 9.880553e-22)
12.45         	(2.915932e+01 5.048077e-03 9.852635e-22)	(2.908635e+01 4.617020e-03 0.000000e+00)	(7.297473e-02 4.310572e-04 9.852635e-22)
12.475        	(2.914390e+01 4.958965e-03 9.825726e-22)	(2.907097e+01 4.525505e-03 0.000000e+00)	(7.293218e-02 4.334599e-04 9.825726e-22)
12.5          	(2.912997e+01 4.983236e-03 9.799516e-22)	(2.905711e+01 4.547718e-03 0.000000e+00)	(7.286691e-02 4.355179e-04 9.799516e-22)
12.525        	(2.911347e+01 4.876898e-03 9.774240e-22)	(2.904069e+01 4.439957e-03 0.000000e+00)	(7.277731e-02 4.369410e-04 9.774240e-22)
12.55         	(2.909682e+01 5.187868e-03 9.749310e-22)	(2.902416e+01 4.747656e-03 0.000000e+00)	(7.266181e-02 4.402122e-04 9.749310e-22)
12.575        	(2.907948e+01 4.977442e-03 9.719975e-22)	(2.900696e+01 4.534410e-03 0.000000e+00)	(7.252109e-02 4.430317e-04 9.719975e-22)
12.6          	(2.906165e+01 5.103097e-03 9.677086e-22)	(2.898929e+01 4.657487e-03 0.000000e+00)	(7.235830e-02 4.456103e-04 9.677086e-22)
12.625        	(2.904180e+01 4.872179e-03 9.637370e-22)	(2.896963e+01 4.425094e-03 0.000000e+00)	(7.217325e-02 4.470843e-04 9.637370e-22)
12.65         	(2.902337e+01 5.071047e-03 9.599846e-22)	(2.895140e+01 4.621779e-03 0.000000e+00)	(7.196860e-02 4.492675e-04 9.599846e-22)
12.675        	(2.900148e+01 4.747632e-03 9.564803e-22)	(2.892975e+01 4.297374e-03 0.000000e+00)	(7.173790e-02 4.502577e-04 9.564803e-22)
12.7          	(2.897675e+01 5.119786e-03 9.533315e-22)	(2.890527e+01 4.666985e-03 0.000000e+00)	(7.147779e-02 4.528005e-04 9.533315e-22)
12.725        	(2.895703e+01 4.872889e-03 9.504230e-22)	(2.888583e+01 4.418240e-03 0.000000e+00)	(7.119904e-02 4.546486e-04 9.504230e-22)
12.75         	(2.893565e+01 5.064496e-03 9.477719e-22)	(2.886474e+01 4.607716e-03 0.000000e+00)	(7.090288e-02 4.567795e-04 9.477719e-22)
12.775        	(2.891411e+01 4.845057e-03 9.460467e-22)	(2.884352e+01 4.386904e-03 0.000000e+00)	(7.058871e-02 4.581528e-04 9.460467e-22)
12.8          	(2.889068e+01 5.057299e-03 9.450732e-22)	(2.882042e+01 4.596889e-03 0.000000e+00)	(7.025508e-02 4.604095e-04 9.450732e-22)
12.825        	(2.886748e+01 4.954707e-03 9.440896e-22)	(2.879758e+01 4.492132e-03 0.000000e+00)	(6.990098e-02 4.625753e-04 9.440896e-22)
12.85         	(2.884464e+01 5.058237e-03 9.431126e-22)	(2.877511e+01 4.592641e-03 0.000000e+00)	(6.952774e-02 4.655959e-04 9.431126e-22)
12.875        	(2.881886e+01 4.974089e-03 9.422139e-22)	(2.874973e+01 4.505571e-03 0.000000e+00)	(6.913257e-02 4.685176e-04 9.422139e-22)
12.9          	(2.879437e+01 5.069881e-03 9.413280e-22)	(2.872565e+01 4.598264e-03 0.000000e+00)	(6.871889e-02 4.716169e-04 9.413280e-22)
12.925        	(2.876872e+01 4.843213e-03 9.404333e-22)	(2.870043e+01 4.369664e-03 0.000000e+00)	(6.828787e-02 4.735487e-04 9.404333e-22)
12.95         	(2.874241e+01 5.071218e-03 9.395927e-22)	(2.867458e+01 4.594885e-03 0.000000e+00)	(6.783614e-02 4.763330e-04 9.395927e-22)
12.975        	(2.871401e+01 4.759050e-03 9.387853e-22)	(2.864665e+01 4.281437e-03 0.000000e+00)	(6.736234e-02 4.776132e-04 9.387853e-22)
13            	(2.868654e+01 5.214307e-03 9.379234e-22)	(2.861967e+01 4.733364e-03 0.000000e+00)	(6.686985e-02 4.809428e-04 9.379234e-22)
