# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
12.025        	(-2.496613e-03 1.465030e+01 -9.114948e-03)	(-2.298945e-03 1.461549e+01 -1.050679e-02)	(-1.976681e-04 3.481335e-02 1.391843e-03)
12.05         	(-2.532512e-03 1.464979e+01 -1.022956e-02)	(-2.333624e-03 1.461477e+01 -1.161321e-02)	(-1.988888e-04 3.502466e-02 1.383654e-03)
12.075        	(-2.493354e-03 1.465055e+01 -1.021470e-02)	(-2.293739e-03 1.461533e+01 -1.159406e-02)	(-1.996150e-04 3.522114e-02 1.379360e-03)
12.1          	(-2.472873e-03 1.464861e+01 -1.108442e-02)	(-2.272540e-03 1.461321e+01 -1.245927e-02)	(-2.003336e-04 3.540219e-02 1.374856e-03)
12.125        	(-2.426459e-03 1.464720e+01 -1.113945e-02)	(-2.225103e-03 1.461164e+01 -1.250236e-02)	(-2.013564e-04 3.556749e-02 1.362914e-03)
12.15         	(-2.531269e-03 1.464388e+01 -1.141419e-02)	(-2.328326e-03 1.460817e+01 -1.276111e-02)	(-2.029425e-04 3.571588e-02 1.346925e-03)
12.175        	(-2.358159e-03 1.464139e+01 -1.121657e-02)	(-2.154430e-03 1.460553e+01 -1.255004e-02)	(-2.037289e-04 3.585057e-02 1.333472e-03)
12.2          	(-2.493842e-03 1.463538e+01 -1.148935e-02)	(-2.289220e-03 1.459941e+01 -1.281175e-02)	(-2.046218e-04 3.596975e-02 1.322402e-03)
12.225        	(-2.395452e-03 1.463163e+01 -1.095655e-02)	(-2.189662e-03 1.459556e+01 -1.226931e-02)	(-2.057901e-04 3.607572e-02 1.312754e-03)
12.25         	(-2.528024e-03 1.462736e+01 -1.161778e-02)	(-2.320630e-03 1.459119e+01 -1.291911e-02)	(-2.073941e-04 3.616987e-02 1.301330e-03)
12.275        	(-2.420460e-03 1.462381e+01 -1.076773e-02)	(-2.211898e-03 1.458756e+01 -1.205956e-02)	(-2.085615e-04 3.625316e-02 1.291828e-03)
12.3          	(-2.542987e-03 1.461860e+01 -1.118086e-02)	(-2.333343e-03 1.458227e+01 -1.246640e-02)	(-2.096447e-04 3.632829e-02 1.285541e-03)
12.325        	(-2.483036e-03 1.461377e+01 -1.125476e-02)	(-2.272331e-03 1.457737e+01 -1.252868e-02)	(-2.107052e-04 3.639280e-02 1.273922e-03)
12.35         	(-2.550373e-03 1.460813e+01 -1.108553e-02)	(-2.338338e-03 1.457169e+01 -1.234753e-02)	(-2.120353e-04 3.644105e-02 1.262003e-03)
12.375        	(-2.461123e-03 1.460152e+01 -1.134278e-02)	(-2.248127e-03 1.456505e+01 -1.259295e-02)	(-2.129955e-04 3.647298e-02 1.250165e-03)
12.4          	(-2.521274e-03 1.459572e+01 -1.140372e-02)	(-2.307246e-03 1.455923e+01 -1.264173e-02)	(-2.140275e-04 3.649240e-02 1.238015e-03)
12.425        	(-2.357861e-03 1.458710e+01 -1.167892e-02)	(-2.143409e-03 1.455061e+01 -1.290455e-02)	(-2.144523e-04 3.649632e-02 1.225626e-03)
12.45         	(-2.524038e-03 1.457966e+01 -1.165773e-02)	(-2.308510e-03 1.454317e+01 -1.287221e-02)	(-2.155286e-04 3.648736e-02 1.214480e-03)
12.475        	(-2.479483e-03 1.457195e+01 -1.118570e-02)	(-2.262753e-03 1.453549e+01 -1.238920e-02)	(-2.167299e-04 3.646609e-02 1.203496e-03)
12.5          	(-2.491618e-03 1.456499e+01 -1.122474e-02)	(-2.273859e-03 1.452855e+01 -1.241805e-02)	(-2.177590e-04 3.643346e-02 1.193310e-03)
12.525        	(-2.438449e-03 1.455673e+01 -1.172952e-02)	(-2.219979e-03 1.452035e+01 -1.291058e-02)	(-2.184705e-04 3.638865e-02 1.181058e-03)
12.55         	(-2.593934e-03 1.454841e+01 -1.189582e-02)	(-2.373828e-03 1.451208e+01 -1.306279e-02)	(-2.201061e-04 3.633090e-02 1.166966e-03)
12.575        	(-2.488721e-03 1.453974e+01 -1.181281e-02)	(-2.267205e-03 1.450348e+01 -1.296815e-02)	(-2.215158e-04 3.626054e-02 1.155338e-03)
12.6          	(-2.551549e-03 1.453082e+01 -1.187736e-02)	(-2.328743e-03 1.449465e+01 -1.302017e-02)	(-2.228052e-04 3.617915e-02 1.142802e-03)
12.625        	(-2.436089e-03 1.452090e+01 -1.209752e-02)	(-2.212547e-03 1.448481e+01 -1.322884e-02)	(-2.235422e-04 3.608662e-02 1.131327e-03)
12.65         	(-2.535523e-03 1.451169e+01 -1.212013e-02)	(-2.310890e-03 1.447570e+01 -1.323942e-02)	(-2.246337e-04 3.598430e-02 1.119282e-03)
12.675        	(-2.373816e-03 1.450074e+01 -1.246730e-02)	(-2.148687e-03 1.446487e+01 -1.357286e-02)	(-2.251288e-04 3.586895e-02 1.105559e-03)
