# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.025         	-2.418769e-01	8.430629e+03	-7.318374e-02	-2.784688e-01	2.052851e-01
0.05          	-8.774827e-01	-2.734914e+03	2.012473e-01	-7.768591e-01	9.781063e-01
0.075         	1.158480e+00	1.609124e+03	-5.228939e-02	1.132335e+00	-1.184625e+00
0.1           	-4.242210e-01	-9.761499e+02	6.207468e-02	-3.931836e-01	4.552583e-01
0.125         	4.097762e-01	2.064985e+02	-3.226371e-02	3.936444e-01	-4.259081e-01
0.15          	-1.839003e-01	-3.582319e+02	1.981112e-02	-1.739948e-01	1.938059e-01
0.175         	1.302916e-01	-5.798542e+00	-5.484533e-03	1.275494e-01	-1.330339e-01
0.2           	-9.913560e-02	-1.206523e+02	1.476287e-02	-9.175416e-02	1.065170e-01
0.225         	4.730527e-03	-1.380064e+01	1.023954e-02	9.850295e-03	3.892419e-04
0.25          	7.813489e-03	-3.442804e+01	9.039059e-03	1.233302e-02	-3.293960e-03
0.275         	-4.544225e-03	-1.892758e+00	-1.951995e-03	-5.520223e-03	3.568228e-03
0.3           	2.146579e-02	-4.036522e+00	9.208350e-04	2.192621e-02	-2.100538e-02
0.325         	-3.817303e-03	6.413248e+00	-5.590264e-03	-6.612435e-03	1.022171e-03
0.35          	1.376034e-02	7.074623e+00	-6.810955e-03	1.035486e-02	-1.716581e-02
0.375         	2.037469e-03	1.067248e+01	-8.471455e-03	-2.198258e-03	-6.273197e-03
0.4           	5.637298e-04	1.149573e+01	-1.032111e-02	-4.596825e-03	-5.724284e-03
0.425         	1.334271e-03	1.289118e+01	-5.061723e-03	-1.196591e-03	-3.865132e-03
0.45          	7.715761e-03	1.349680e+01	-9.155205e-03	3.138158e-03	-1.229336e-02
0.475         	-6.316054e-03	1.415365e+01	-2.739887e-03	-7.685998e-03	4.946111e-03
0.5           	8.086906e-03	1.455985e+01	-6.339218e-03	4.917297e-03	-1.125651e-02
0.525         	-7.575455e-03	1.489019e+01	-5.519575e-04	-7.851433e-03	7.299476e-03
0.55          	-7.262224e-04	1.513353e+01	-1.853068e-03	-1.652757e-03	-2.003118e-04
0.575         	-5.266814e-03	1.532817e+01	2.606155e-04	-5.136506e-03	5.397122e-03
0.6           	-6.119076e-04	1.549078e+01	-1.310076e-03	-1.266946e-03	-4.313043e-05
0.625         	-5.887116e-03	1.562183e+01	1.530222e-03	-5.122005e-03	6.652227e-03
0.65          	-4.043121e-03	1.571779e+01	5.933593e-04	-3.746441e-03	4.339800e-03
0.675         	-5.037870e-03	1.578612e+01	1.197844e-03	-4.438948e-03	5.636792e-03
0.7           	-4.708287e-03	1.581608e+01	2.172328e-03	-3.622123e-03	5.794451e-03
0.725         	-5.356702e-03	1.584706e+01	1.714472e-03	-4.499466e-03	6.213938e-03
0.75          	-4.912732e-03	1.586079e+01	1.899522e-03	-3.962971e-03	5.862493e-03
0.775         	-4.358630e-03	1.588593e+01	2.253710e-03	-3.231775e-03	5.485485e-03
0.8           	-6.067324e-03	1.588747e+01	1.239487e-03	-5.447581e-03	6.687067e-03
0.825         	-4.397474e-03	1.588557e+01	1.431760e-03	-3.681594e-03	5.113354e-03
0.85          	-5.042238e-03	1.589581e+01	5.028925e-04	-4.790792e-03	5.293684e-03
0.875         	-3.397512e-03	1.588691e+01	5.858996e-04	-3.104562e-03	3.690462e-03
0.9           	-2.730121e-03	1.587672e+01	6.086342e-05	-2.699689e-03	2.760553e-03
0.925         	-2.273660e-03	1.585227e+01	7.885797e-05	-2.234231e-03	2.313089e-03
0.95          	-2.702048e-03	1.584046e+01	-3.596402e-04	-2.881868e-03	2.522227e-03
0.975         	-2.010618e-03	1.582779e+01	2.549056e-05	-1.997872e-03	2.023363e-03
1             	-2.486490e-03	1.581324e+01	-6.469727e-05	-2.518839e-03	2.454142e-03
1.025         	-1.242769e-03	1.580003e+01	-6.459552e-04	-1.565747e-03	9.197914e-04
1.05          	-1.990340e-03	1.577469e+01	-5.493233e-04	-2.265002e-03	1.715678e-03
1.075         	-1.122748e-03	1.575904e+01	-8.321242e-04	-1.538810e-03	7.066859e-04
1.1           	-1.865608e-03	1.573381e+01	-3.235579e-04	-2.027387e-03	1.703829e-03
1.125         	-1.233572e-03	1.571199e+01	-9.208919e-04	-1.694018e-03	7.731259e-04
1.15          	-2.268275e-03	1.568872e+01	-2.026494e-04	-2.369600e-03	2.166951e-03
1.175         	-1.506275e-03	1.566487e+01	-4.457104e-04	-1.729131e-03	1.283420e-03
1.2           	-2.098251e-03	1.564249e+01	-1.288588e-04	-2.162680e-03	2.033821e-03
1.225         	-1.519958e-03	1.562194e+01	-4.686952e-04	-1.754305e-03	1.285610e-03
1.25          	-1.928861e-03	1.559974e+01	2.628962e-06	-1.927547e-03	1.930176e-03
1.275         	-1.808116e-03	1.556999e+01	-2.884041e-04	-1.952318e-03	1.663914e-03
1.3           	-1.904556e-03	1.555133e+01	2.729521e-06	-1.903192e-03	1.905921e-03
1.325         	-1.555028e-03	1.552896e+01	-1.304562e-04	-1.620256e-03	1.489800e-03
1.35          	-1.891454e-03	1.550157e+01	-4.217408e-05	-1.912541e-03	1.870367e-03
1.375         	-1.752690e-03	1.548517e+01	-2.252129e-04	-1.865296e-03	1.640083e-03
1.4           	-1.894805e-03	1.546191e+01	7.009796e-05	-1.859756e-03	1.929853e-03
1.425         	-1.721770e-03	1.543753e+01	-2.844288e-04	-1.863984e-03	1.579555e-03
1.45          	-2.002523e-03	1.542015e+01	2.565481e-04	-1.874249e-03	2.130797e-03
