# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.025         	(4.482504e-02 5.163760e+03 -2.962992e-01)	(4.474713e-02 5.153033e+03 -2.961195e-01)	(7.790541e-05 1.072745e+01 -1.797873e-04)
0.05          	(-1.232640e-01 -1.675135e+03 -1.074916e+00)	(-1.228560e-01 -1.682898e+03 -1.066975e+00)	(-4.079958e-04 7.763350e+00 -7.940922e-03)
0.075         	(3.202725e-02 9.855887e+02 1.419138e+00)	(3.135342e-02 9.802344e+02 1.427768e+00)	(6.738362e-04 5.354283e+00 -8.630281e-03)
0.1           	(-3.802074e-02 -5.978918e+02 -5.196707e-01)	(-3.858336e-02 -6.016058e+02 -5.097083e-01)	(5.626163e-04 3.714037e+00 -9.962334e-03)
0.125         	(1.976152e-02 1.264803e+02 5.019759e-01)	(1.996254e-02 1.236858e+02 5.074925e-01)	(-2.010165e-04 2.794568e+00 -5.516587e-03)
0.15          	(-1.213431e-02 -2.194170e+02 -2.252779e-01)	(-1.183173e-02 -2.216849e+02 -2.258975e-01)	(-3.025750e-04 2.267841e+00 6.196069e-04)
0.175         	(3.359276e-03 -3.551607e+00 1.596073e-01)	(3.688936e-03 -5.509105e+00 1.550436e-01)	(-3.296600e-04 1.957499e+00 4.563635e-03)
0.2           	(-9.042256e-03 -7.389955e+01 -1.214411e-01)	(-8.671188e-03 -7.566384e+01 -1.267661e-01)	(-3.710685e-04 1.764295e+00 5.324969e-03)
0.225         	(-6.271717e-03 -8.452890e+00 5.794895e-03)	(-5.984449e-03 -1.008685e+01 1.119701e-03)	(-2.872677e-04 1.633965e+00 4.675194e-03)
0.25          	(-5.536424e-03 -2.108717e+01 9.571524e-03)	(-5.257173e-03 -2.261937e+01 6.058594e-03)	(-2.792503e-04 1.532196e+00 3.512930e-03)
0.275         	(1.195597e-03 -1.159314e+00 -5.566676e-03)	(1.462953e-03 -2.606081e+00 -8.481045e-03)	(-2.673564e-04 1.446767e+00 2.914369e-03)
0.3           	(-5.640114e-04 -2.472370e+00 2.629560e-02)	(-3.188019e-04 -3.844135e+00 2.348865e-02)	(-2.452095e-04 1.371765e+00 2.806946e-03)
0.325         	(3.424037e-03 3.928115e+00 -4.676196e-03)	(3.626036e-03 2.624534e+00 -7.323300e-03)	(-2.019991e-04 1.303580e+00 2.647104e-03)
0.35          	(4.171710e-03 4.333207e+00 1.685641e-02)	(4.323446e-03 3.092283e+00 1.425955e-02)	(-1.517357e-04 1.240924e+00 2.596859e-03)
0.375         	(5.188766e-03 6.536892e+00 2.495900e-03)	(5.292152e-03 5.353140e+00 7.994448e-05)	(-1.033857e-04 1.183753e+00 2.415955e-03)
0.4           	(6.321680e-03 7.041135e+00 6.905689e-04)	(6.375148e-03 5.910181e+00 -1.533268e-03)	(-5.346892e-05 1.130954e+00 2.223837e-03)
0.425         	(3.100306e-03 7.895847e+00 1.634481e-03)	(3.136896e-03 6.814327e+00 -4.741613e-04)	(-3.659057e-05 1.081520e+00 2.108643e-03)
0.45          	(5.607563e-03 8.266788e+00 9.451807e-03)	(5.627273e-03 7.231317e+00 7.466818e-03)	(-1.970927e-05 1.035471e+00 1.984989e-03)
0.475         	(1.678181e-03 8.669112e+00 -7.737167e-03)	(1.696385e-03 7.676727e+00 -9.552858e-03)	(-1.820423e-05 9.923846e-01 1.815692e-03)
0.5           	(3.882771e-03 8.917907e+00 9.906460e-03)	(3.892802e-03 7.965864e+00 8.223706e-03)	(-1.003081e-05 9.520432e-01 1.682754e-03)
0.525         	(3.380740e-04 9.120241e+00 -9.279932e-03)	(3.533139e-04 8.205970e+00 -1.075584e-02)	(-1.523989e-05 9.142712e-01 1.475903e-03)
0.55          	(1.135004e-03 9.269289e+00 -8.896224e-04)	(1.154035e-03 8.390419e+00 -2.186870e-03)	(-1.903059e-05 8.788707e-01 1.297247e-03)
0.575         	(-1.596270e-04 9.388502e+00 -6.451847e-03)	(-1.359965e-04 8.542895e+00 -7.591396e-03)	(-2.363051e-05 8.456069e-01 1.139549e-03)
