# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
6.025         	(1.571811e+01 2.876767e-03 1.539512e-21)	(1.635627e+01 2.606990e-03 0.000000e+00)	(-6.381636e-01 2.697772e-04 1.539512e-21)
6.05          	(1.574460e+01 2.517104e-03 1.544049e-21)	(1.638188e+01 2.246475e-03 0.000000e+00)	(-6.372775e-01 2.706285e-04 1.544049e-21)
6.075         	(1.577404e+01 2.892558e-03 1.557532e-21)	(1.641037e+01 2.619976e-03 0.000000e+00)	(-6.363257e-01 2.725823e-04 1.557532e-21)
6.1           	(1.580606e+01 2.766261e-03 1.569142e-21)	(1.644136e+01 2.491829e-03 0.000000e+00)	(-6.353098e-01 2.744314e-04 1.569142e-21)
6.125         	(1.583684e+01 2.593509e-03 1.580536e-21)	(1.647107e+01 2.317799e-03 0.000000e+00)	(-6.342310e-01 2.757104e-04 1.580536e-21)
6.15          	(1.587088e+01 2.841019e-03 1.576843e-21)	(1.650396e+01 2.563318e-03 0.000000e+00)	(-6.330745e-01 2.777018e-04 1.576843e-21)
6.175         	(1.590741e+01 2.604573e-03 1.580194e-21)	(1.653925e+01 2.325233e-03 0.000000e+00)	(-6.318372e-01 2.793403e-04 1.580194e-21)
6.2           	(1.593347e+01 2.618642e-03 1.583654e-21)	(1.656404e+01 2.338847e-03 0.000000e+00)	(-6.305660e-01 2.797950e-04 1.583654e-21)
6.225         	(1.596383e+01 2.786454e-03 1.586940e-21)	(1.659309e+01 2.504466e-03 0.000000e+00)	(-6.292568e-01 2.819877e-04 1.586940e-21)
6.25          	(1.599745e+01 2.574351e-03 1.590450e-21)	(1.662534e+01 2.290959e-03 0.000000e+00)	(-6.278911e-01 2.833927e-04 1.590450e-21)
6.275         	(1.603555e+01 2.708818e-03 1.592776e-21)	(1.666200e+01 2.423614e-03 0.000000e+00)	(-6.264459e-01 2.852032e-04 1.592776e-21)
6.3           	(1.607124e+01 2.491157e-03 1.596041e-21)	(1.669618e+01 2.205299e-03 0.000000e+00)	(-6.249359e-01 2.858581e-04 1.596041e-21)
