# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.025         	(1.032752e+04 -8.965008e-02 -6.646143e-19)	(1.030607e+04 -8.949427e-02 0.000000e+00)	(2.145490e+01 -1.558108e-04 -6.646143e-19)
0.05          	(-3.350269e+03 2.465279e-01 2.342705e-18)	(-3.365796e+03 2.457119e-01 0.000000e+00)	(1.552670e+01 8.159916e-04 2.342705e-18)
0.075         	(1.971177e+03 -6.405450e-02 9.617924e-20)	(1.960469e+03 -6.270683e-02 0.000000e+00)	(1.070857e+01 -1.347672e-03 9.617924e-20)
0.1           	(-1.195784e+03 7.604149e-02 4.991835e-19)	(-1.203212e+03 7.716672e-02 0.000000e+00)	(7.428073e+00 -1.125233e-03 4.991835e-19)
0.125         	(2.529606e+02 -3.952304e-02 7.160379e-21)	(2.473715e+02 -3.992507e-02 0.000000e+00)	(5.589137e+00 4.020329e-04 7.160379e-21)
0.15          	(-4.388341e+02 2.426862e-02 9.507498e-20)	(-4.433698e+02 2.366347e-02 0.000000e+00)	(4.535681e+00 6.051500e-04 9.507498e-20)
0.175         	(-7.103214e+00 -6.718553e-03 3.655190e-20)	(-1.101821e+01 -7.377873e-03 0.000000e+00)	(3.914997e+00 6.593199e-04 3.655190e-20)
0.2           	(-1.477991e+02 1.808451e-02 5.005842e-20)	(-1.513277e+02 1.734238e-02 0.000000e+00)	(3.528589e+00 7.421370e-04 5.005842e-20)
0.225         	(-1.690578e+01 1.254343e-02 2.632905e-20)	(-2.017371e+01 1.196890e-02 0.000000e+00)	(3.267930e+00 5.745354e-04 2.632905e-20)
0.25          	(-4.217434e+01 1.107285e-02 2.580927e-20)	(-4.523874e+01 1.051435e-02 0.000000e+00)	(3.064392e+00 5.585006e-04 2.580927e-20)
0.275         	(-2.318628e+00 -2.391194e-03 1.959409e-20)	(-5.212162e+00 -2.925906e-03 0.000000e+00)	(2.893533e+00 5.347128e-04 1.959409e-20)
0.3           	(-4.944739e+00 1.128023e-03 1.871585e-20)	(-7.688269e+00 6.376039e-04 0.000000e+00)	(2.743530e+00 4.904190e-04 1.871585e-20)
0.325         	(7.856229e+00 -6.848074e-03 1.582072e-20)	(5.249068e+00 -7.252072e-03 0.000000e+00)	(2.607161e+00 4.039982e-04 1.582072e-20)
0.35          	(8.666413e+00 -8.343420e-03 1.469749e-20)	(6.184566e+00 -8.646891e-03 0.000000e+00)	(2.481848e+00 3.034714e-04 1.469749e-20)
0.375         	(1.307378e+01 -1.037753e-02 1.323773e-20)	(1.070628e+01 -1.058430e-02 0.000000e+00)	(2.367505e+00 2.067714e-04 1.323773e-20)
0.4           	(1.408227e+01 -1.264336e-02 1.236897e-20)	(1.182036e+01 -1.275030e-02 0.000000e+00)	(2.261909e+00 1.069378e-04 1.236897e-20)
0.425         	(1.579169e+01 -6.200611e-03 1.147352e-20)	(1.362865e+01 -6.273792e-03 0.000000e+00)	(2.163039e+00 7.318113e-05 1.147352e-20)
0.45          	(1.653358e+01 -1.121513e-02 1.085129e-20)	(1.446263e+01 -1.125455e-02 0.000000e+00)	(2.070943e+00 3.941854e-05 1.085129e-20)
0.475         	(1.733822e+01 -3.356362e-03 1.021221e-20)	(1.535345e+01 -3.392770e-03 0.000000e+00)	(1.984769e+00 3.640847e-05 1.021221e-20)
0.5           	(1.783581e+01 -7.765542e-03 7.763849e-21)	(1.593173e+01 -7.785604e-03 0.000000e+00)	(1.904086e+00 2.006161e-05 7.763849e-21)
0.525         	(1.824048e+01 -6.761480e-04 7.484864e-21)	(1.641194e+01 -7.066278e-04 0.000000e+00)	(1.828542e+00 3.047978e-05 7.484864e-21)
0.55          	(1.853858e+01 -2.270009e-03 7.157936e-21)	(1.678084e+01 -2.308070e-03 0.000000e+00)	(1.757741e+00 3.806119e-05 7.157936e-21)
0.575         	(1.877700e+01 3.192540e-04 6.755509e-21)	(1.708579e+01 2.719929e-04 0.000000e+00)	(1.691214e+00 4.726102e-05 6.755509e-21)
0.6           	(1.897621e+01 -1.604843e-03 6.396097e-21)	(1.734790e+01 -1.649939e-03 0.000000e+00)	(1.628307e+00 4.509543e-05 6.396097e-21)
0.625         	(1.913674e+01 1.874522e-03 6.633914e-21)	(1.756812e+01 1.815234e-03 0.000000e+00)	(1.568616e+00 5.928826e-05 6.633914e-21)
0.65          	(1.925429e+01 7.268652e-04 7.001668e-21)	(1.774207e+01 6.575043e-04 0.000000e+00)	(1.512222e+00 6.936088e-05 7.001668e-21)
0.675         	(1.933799e+01 1.467358e-03 7.167837e-21)	(1.787922e+01 1.390703e-03 0.000000e+00)	(1.458772e+00 7.665519e-05 7.167837e-21)
0.7           	(1.937470e+01 2.661102e-03 6.972783e-21)	(1.796670e+01 2.567097e-03 0.000000e+00)	(1.407997e+00 9.400465e-05 6.972783e-21)
0.725         	(1.941265e+01 2.100228e-03 6.801030e-21)	(1.805313e+01 1.993575e-03 0.000000e+00)	(1.359514e+00 1.066526e-04 6.801030e-21)
0.75          	(1.942947e+01 2.326914e-03 6.827355e-21)	(1.811627e+01 2.218749e-03 0.000000e+00)	(1.313199e+00 1.081650e-04 6.827355e-21)
0.775         	(1.946027e+01 2.760795e-03 6.461480e-21)	(1.819130e+01 2.648434e-03 0.000000e+00)	(1.268972e+00 1.123601e-04 6.461480e-21)
0.8           	(1.946215e+01 1.518371e-03 6.225850e-21)	(1.823569e+01 1.415805e-03 0.000000e+00)	(1.226458e+00 1.025663e-04 6.225850e-21)
0.825         	(1.945982e+01 1.753906e-03 6.061374e-21)	(1.827412e+01 1.661146e-03 0.000000e+00)	(1.185697e+00 9.276089e-05 6.061374e-21)
0.85          	(1.947237e+01 6.160433e-04 5.913570e-21)	(1.832575e+01 5.382200e-04 0.000000e+00)	(1.146615e+00 7.782327e-05 5.913570e-21)
0.875         	(1.946147e+01 7.177270e-04 5.789444e-21)	(1.835243e+01 6.511473e-04 0.000000e+00)	(1.109043e+00 6.657976e-05 5.789444e-21)
0.9           	(1.944898e+01 7.455769e-05 5.700585e-21)	(1.837608e+01 1.774880e-05 0.000000e+00)	(1.072899e+00 5.680888e-05 5.700585e-21)
0.925         	(1.941903e+01 9.660101e-05 5.592892e-21)	(1.838088e+01 4.826256e-05 0.000000e+00)	(1.038151e+00 4.833845e-05 5.592892e-21)
