# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
6.025         	-7.582117e-03	1.283111e+01	2.348381e-03	-6.407927e-03	8.756308e-03
6.05          	-8.192894e-03	1.285274e+01	2.054779e-03	-7.165504e-03	9.220283e-03
6.075         	-8.708886e-03	1.287677e+01	2.361272e-03	-7.528251e-03	9.889522e-03
6.1           	-9.091742e-03	1.290290e+01	2.258172e-03	-7.962656e-03	1.022083e-02
6.125         	-9.265492e-03	1.292803e+01	2.117150e-03	-8.206917e-03	1.032407e-02
6.15          	-9.348323e-03	1.295582e+01	2.319199e-03	-8.188724e-03	1.050792e-02
6.175         	-9.478935e-03	1.298564e+01	2.126182e-03	-8.415844e-03	1.054203e-02
6.2           	-9.163805e-03	1.300692e+01	2.137667e-03	-8.094972e-03	1.023264e-02
6.225         	-9.231882e-03	1.303170e+01	2.274656e-03	-8.094554e-03	1.036921e-02
6.25          	-9.754394e-03	1.305914e+01	2.101511e-03	-8.703638e-03	1.080515e-02
6.275         	-9.568246e-03	1.309025e+01	2.211280e-03	-8.462606e-03	1.067389e-02
6.3           	-9.866295e-03	1.311938e+01	2.033597e-03	-8.849496e-03	1.088309e-02
6.325         	-9.680578e-03	1.314813e+01	2.130499e-03	-8.615328e-03	1.074583e-02
6.35          	-1.016633e-02	1.318426e+01	2.093220e-03	-9.119721e-03	1.121294e-02
6.375         	-1.030233e-02	1.321557e+01	2.117165e-03	-9.243744e-03	1.136091e-02
6.4           	-1.007998e-02	1.324880e+01	2.033027e-03	-9.063467e-03	1.109649e-02
6.425         	-1.020734e-02	1.328286e+01	2.029443e-03	-9.192615e-03	1.122206e-02
6.45          	-9.886255e-03	1.331043e+01	2.104080e-03	-8.834215e-03	1.093830e-02
6.475         	-1.082775e-02	1.334572e+01	2.038061e-03	-9.808722e-03	1.184678e-02
6.5           	-1.014022e-02	1.337621e+01	2.057642e-03	-9.111400e-03	1.116904e-02
6.525         	-1.088241e-02	1.341499e+01	2.082028e-03	-9.841395e-03	1.192342e-02
6.55          	-1.047566e-02	1.345038e+01	2.017376e-03	-9.466977e-03	1.148435e-02
6.575         	-1.099747e-02	1.348455e+01	1.927352e-03	-1.003380e-02	1.196115e-02
6.6           	-1.119265e-02	1.352756e+01	2.035688e-03	-1.017481e-02	1.221050e-02
6.625         	-1.069830e-02	1.356546e+01	1.969771e-03	-9.713413e-03	1.168318e-02
6.65          	-1.132504e-02	1.360652e+01	1.924966e-03	-1.036256e-02	1.228753e-02
6.675         	-1.122051e-02	1.364713e+01	1.907423e-03	-1.026680e-02	1.217422e-02
6.7           	-1.135865e-02	1.368760e+01	1.889886e-03	-1.041370e-02	1.230359e-02
6.725         	-1.164734e-02	1.372091e+01	1.857832e-03	-1.071842e-02	1.257625e-02
6.75          	-1.157367e-02	1.376534e+01	1.917614e-03	-1.061487e-02	1.253248e-02
6.775         	-1.207415e-02	1.380158e+01	1.838665e-03	-1.115482e-02	1.299349e-02
6.8           	-1.130204e-02	1.384578e+01	1.887700e-03	-1.035819e-02	1.224589e-02
6.825         	-1.203315e-02	1.388968e+01	1.850103e-03	-1.110810e-02	1.295820e-02
