# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
21.025        	(2.596685e+01 3.724610e-03 7.855295e-22)	(2.597419e+01 3.248363e-03 0.000000e+00)	(-7.334047e-03 4.762475e-04 7.855295e-22)
21.05         	(2.596496e+01 4.124010e-03 7.850902e-22)	(2.597222e+01 3.646547e-03 0.000000e+00)	(-7.260688e-03 4.774634e-04 7.850902e-22)
21.075        	(2.596256e+01 3.651533e-03 7.846293e-22)	(2.596975e+01 3.174330e-03 0.000000e+00)	(-7.187359e-03 4.772028e-04 7.846293e-22)
21.1          	(2.596019e+01 4.162364e-03 7.841764e-22)	(2.596730e+01 3.683588e-03 0.000000e+00)	(-7.117598e-03 4.787758e-04 7.841764e-22)
21.125        	(2.595818e+01 3.540335e-03 7.837264e-22)	(2.596523e+01 3.062041e-03 0.000000e+00)	(-7.051635e-03 4.782947e-04 7.837264e-22)
21.15         	(2.595663e+01 4.178886e-03 7.832888e-22)	(2.596362e+01 3.699050e-03 0.000000e+00)	(-6.987769e-03 4.798357e-04 7.832888e-22)
21.175        	(2.595425e+01 3.608939e-03 7.828302e-22)	(2.596118e+01 3.129186e-03 0.000000e+00)	(-6.926314e-03 4.797526e-04 7.828302e-22)
21.2          	(2.595219e+01 4.029600e-03 7.823985e-22)	(2.595905e+01 3.549021e-03 0.000000e+00)	(-6.867209e-03 4.805790e-04 7.823985e-22)
21.225        	(2.594969e+01 3.710343e-03 7.819419e-22)	(2.595650e+01 3.229685e-03 0.000000e+00)	(-6.811035e-03 4.806580e-04 7.819419e-22)
21.25         	(2.594693e+01 3.962349e-03 7.814957e-22)	(2.595368e+01 3.480978e-03 0.000000e+00)	(-6.757544e-03 4.813712e-04 7.814957e-22)
21.275        	(2.594492e+01 3.832061e-03 7.810437e-22)	(2.595163e+01 3.350049e-03 0.000000e+00)	(-6.705158e-03 4.820113e-04 7.810437e-22)
21.3          	(2.594218e+01 3.884853e-03 7.806131e-22)	(2.594883e+01 3.402248e-03 0.000000e+00)	(-6.655876e-03 4.826046e-04 7.806131e-22)
21.325        	(2.593877e+01 3.812790e-03 7.801501e-22)	(2.594538e+01 3.329755e-03 0.000000e+00)	(-6.610284e-03 4.830348e-04 7.801501e-22)
21.35         	(2.593527e+01 3.891230e-03 7.796879e-22)	(2.594184e+01 3.407504e-03 0.000000e+00)	(-6.567549e-03 4.837260e-04 7.796879e-22)
21.375        	(2.593214e+01 3.834421e-03 7.792396e-22)	(2.593867e+01 3.350229e-03 0.000000e+00)	(-6.527072e-03 4.841915e-04 7.792396e-22)
21.4          	(2.592853e+01 3.879773e-03 7.787877e-22)	(2.593502e+01 3.395044e-03 0.000000e+00)	(-6.489333e-03 4.847286e-04 7.787877e-22)
21.425        	(2.592517e+01 3.788934e-03 7.783493e-22)	(2.593162e+01 3.303993e-03 0.000000e+00)	(-6.454637e-03 4.849404e-04 7.783493e-22)
21.45         	(2.592106e+01 3.854453e-03 7.778918e-22)	(2.592748e+01 3.369044e-03 0.000000e+00)	(-6.422691e-03 4.854087e-04 7.778918e-22)
21.475        	(2.591745e+01 3.906970e-03 7.774418e-22)	(2.592384e+01 3.420622e-03 0.000000e+00)	(-6.392792e-03 4.863480e-04 7.774418e-22)
21.5          	(2.591372e+01 3.904420e-03 7.769889e-22)	(2.592008e+01 3.417116e-03 0.000000e+00)	(-6.365504e-03 4.873034e-04 7.769889e-22)
21.525        	(2.590977e+01 3.832407e-03 7.765321e-22)	(2.591611e+01 3.344647e-03 0.000000e+00)	(-6.340391e-03 4.877603e-04 7.765321e-22)
21.55         	(2.590574e+01 3.942273e-03 7.760827e-22)	(2.591206e+01 3.453672e-03 0.000000e+00)	(-6.317747e-03 4.886011e-04 7.760827e-22)
21.575        	(2.590122e+01 3.837736e-03 7.756273e-22)	(2.590751e+01 3.348619e-03 0.000000e+00)	(-6.297761e-03 4.891174e-04 7.756273e-22)
21.6          	(2.589666e+01 3.775249e-03 7.751745e-22)	(2.590294e+01 3.286170e-03 0.000000e+00)	(-6.280824e-03 4.890793e-04 7.751745e-22)
21.625        	(2.589251e+01 3.912145e-03 7.747263e-22)	(2.589878e+01 3.422488e-03 0.000000e+00)	(-6.265861e-03 4.896561e-04 7.747263e-22)
21.65         	(2.588722e+01 3.796104e-03 7.742689e-22)	(2.589348e+01 3.306062e-03 0.000000e+00)	(-6.253947e-03 4.900421e-04 7.742689e-22)
21.675        	(2.588272e+01 3.804268e-03 7.738222e-22)	(2.588897e+01 3.314071e-03 0.000000e+00)	(-6.244348e-03 4.901971e-04 7.738222e-22)
21.7          	(2.587759e+01 3.891322e-03 7.733696e-22)	(2.588382e+01 3.400429e-03 0.000000e+00)	(-6.237128e-03 4.908927e-04 7.733696e-22)
21.725        	(2.587211e+01 3.831739e-03 7.729139e-22)	(2.587835e+01 3.340283e-03 0.000000e+00)	(-6.233161e-03 4.914566e-04 7.729139e-22)
21.75         	(2.586691e+01 3.865001e-03 7.724593e-22)	(2.587314e+01 3.372973e-03 0.000000e+00)	(-6.231734e-03 4.920273e-04 7.724593e-22)
21.775        	(2.586144e+01 3.804029e-03 7.720094e-22)	(2.586768e+01 3.311653e-03 0.000000e+00)	(-6.232523e-03 4.923751e-04 7.720094e-22)
21.8          	(2.585614e+01 3.884763e-03 7.715566e-22)	(2.586238e+01 3.391748e-03 0.000000e+00)	(-6.235509e-03 4.930145e-04 7.715566e-22)
21.825        	(2.585038e+01 3.794649e-03 7.711057e-22)	(2.585662e+01 3.301325e-03 0.000000e+00)	(-6.240931e-03 4.933236e-04 7.711057e-22)
21.85         	(2.584463e+01 3.873570e-03 7.706527e-22)	(2.585087e+01 3.379675e-03 0.000000e+00)	(-6.248679e-03 4.938955e-04 7.706527e-22)
21.875        	(2.583848e+01 3.838772e-03 7.701964e-22)	(2.584474e+01 3.344255e-03 0.000000e+00)	(-6.259187e-03 4.945164e-04 7.701964e-22)
21.9          	(2.583259e+01 3.877991e-03 7.697483e-22)	(2.583886e+01 3.382878e-03 0.000000e+00)	(-6.272483e-03 4.951128e-04 7.697483e-22)
21.925        	(2.582625e+01 3.822583e-03 7.692916e-22)	(2.583254e+01 3.327097e-03 0.000000e+00)	(-6.288217e-03 4.954859e-04 7.692916e-22)
21.95         	(2.582023e+01 3.782304e-03 7.688442e-22)	(2.582653e+01 3.286777e-03 0.000000e+00)	(-6.306158e-03 4.955266e-04 7.688442e-22)
21.975        	(2.581367e+01 3.957519e-03 7.683942e-22)	(2.582000e+01 3.461002e-03 0.000000e+00)	(-6.325962e-03 4.965171e-04 7.683942e-22)
22            	(2.580744e+01 3.776756e-03 7.679423e-22)	(2.581378e+01 3.279828e-03 0.000000e+00)	(-6.348152e-03 4.969275e-04 7.679423e-22)
22.025        	(2.580100e+01 3.939021e-03 7.674941e-22)	(2.580737e+01 3.441395e-03 0.000000e+00)	(-6.372422e-03 4.976260e-04 7.674941e-22)
22.05         	(2.579467e+01 3.816082e-03 7.670409e-22)	(2.580107e+01 3.318112e-03 0.000000e+00)	(-6.398929e-03 4.979700e-04 7.670409e-22)
22.075        	(2.578852e+01 3.929986e-03 7.665990e-22)	(2.579495e+01 3.431370e-03 0.000000e+00)	(-6.426825e-03 4.986165e-04 7.665990e-22)
22.1          	(2.578042e+01 3.835956e-03 7.661408e-22)	(2.578688e+01 3.336826e-03 0.000000e+00)	(-6.458132e-03 4.991301e-04 7.661408e-22)
22.125        	(2.577374e+01 3.889745e-03 7.657000e-22)	(2.578023e+01 3.390035e-03 0.000000e+00)	(-6.491981e-03 4.997107e-04 7.657000e-22)
22.15         	(2.576678e+01 3.942172e-03 7.652523e-22)	(2.577331e+01 3.441577e-03 0.000000e+00)	(-6.527683e-03 5.005949e-04 7.652523e-22)
22.175        	(2.575954e+01 3.761653e-03 7.648010e-22)	(2.576610e+01 3.261081e-03 0.000000e+00)	(-6.565550e-03 5.005723e-04 7.648010e-22)
22.2          	(2.575242e+01 3.945815e-03 7.643597e-22)	(2.575902e+01 3.444665e-03 0.000000e+00)	(-6.605319e-03 5.011493e-04 7.643597e-22)
22.225        	(2.574480e+01 3.764317e-03 7.639119e-22)	(2.575145e+01 3.263091e-03 0.000000e+00)	(-6.647367e-03 5.012254e-04 7.639119e-22)
22.25         	(2.573770e+01 3.947937e-03 7.634746e-22)	(2.574440e+01 3.446063e-03 0.000000e+00)	(-6.690822e-03 5.018738e-04 7.634746e-22)
22.275        	(2.572937e+01 3.835280e-03 7.630192e-22)	(2.573611e+01 3.333017e-03 0.000000e+00)	(-6.737187e-03 5.022626e-04 7.630192e-22)
22.3          	(2.572191e+01 3.874533e-03 7.625751e-22)	(2.572870e+01 3.371913e-03 0.000000e+00)	(-6.785833e-03 5.026206e-04 7.625751e-22)
22.325        	(2.571409e+01 3.824464e-03 7.621255e-22)	(2.572093e+01 3.321626e-03 0.000000e+00)	(-6.836367e-03 5.028375e-04 7.621255e-22)
22.35         	(2.570595e+01 3.925325e-03 7.616830e-22)	(2.571284e+01 3.421854e-03 0.000000e+00)	(-6.889114e-03 5.034719e-04 7.616830e-22)
22.375        	(2.569766e+01 3.810024e-03 7.612315e-22)	(2.570460e+01 3.306333e-03 0.000000e+00)	(-6.944413e-03 5.036910e-04 7.612315e-22)
22.4          	(2.568939e+01 3.931528e-03 7.607895e-22)	(2.569640e+01 3.427273e-03 0.000000e+00)	(-7.001753e-03 5.042552e-04 7.607895e-22)
22.425        	(2.568126e+01 3.812290e-03 7.603464e-22)	(2.568832e+01 3.307832e-03 0.000000e+00)	(-7.060643e-03 5.044577e-04 7.603464e-22)
22.45         	(2.567305e+01 3.894845e-03 7.599050e-22)	(2.568017e+01 3.390000e-03 0.000000e+00)	(-7.121131e-03 5.048454e-04 7.599050e-22)
22.475        	(2.566417e+01 3.727033e-03 7.594588e-22)	(2.567135e+01 3.222472e-03 0.000000e+00)	(-7.184067e-03 5.045608e-04 7.594588e-22)
22.5          	(2.565591e+01 4.118012e-03 7.590270e-22)	(2.566316e+01 3.612022e-03 0.000000e+00)	(-7.248314e-03 5.059898e-04 7.590270e-22)
22.525        	(2.564736e+01 3.718757e-03 7.585675e-22)	(2.565468e+01 3.212673e-03 0.000000e+00)	(-7.314254e-03 5.060835e-04 7.585675e-22)
22.55         	(2.563899e+01 4.057758e-03 7.581351e-22)	(2.564637e+01 3.550798e-03 0.000000e+00)	(-7.381978e-03 5.069595e-04 7.581351e-22)
22.575        	(2.563056e+01 3.772624e-03 7.576881e-22)	(2.563801e+01 3.265545e-03 0.000000e+00)	(-7.450817e-03 5.070788e-04 7.576881e-22)
22.6          	(2.562110e+01 4.125645e-03 7.572517e-22)	(2.562863e+01 3.617444e-03 0.000000e+00)	(-7.522364e-03 5.082009e-04 7.572517e-22)
22.625        	(2.561253e+01 3.682080e-03 7.568044e-22)	(2.562012e+01 3.174167e-03 0.000000e+00)	(-7.595572e-03 5.079131e-04 7.568044e-22)
22.65         	(2.560360e+01 4.136718e-03 7.563749e-22)	(2.561127e+01 3.627669e-03 0.000000e+00)	(-7.670148e-03 5.090490e-04 7.563749e-22)
22.675        	(2.559452e+01 3.634848e-03 7.559236e-22)	(2.560227e+01 3.126315e-03 0.000000e+00)	(-7.746487e-03 5.085330e-04 7.559236e-22)
22.7          	(2.558541e+01 4.062324e-03 7.554970e-22)	(2.559324e+01 3.553185e-03 0.000000e+00)	(-7.824411e-03 5.091394e-04 7.554970e-22)
22.725        	(2.557582e+01 3.785245e-03 7.550504e-22)	(2.558372e+01 3.275968e-03 0.000000e+00)	(-7.904408e-03 5.092774e-04 7.550504e-22)
22.75         	(2.556708e+01 3.991617e-03 7.546221e-22)	(2.557506e+01 3.481734e-03 0.000000e+00)	(-7.985292e-03 5.098828e-04 7.546221e-22)
22.775        	(2.555694e+01 3.840577e-03 7.541758e-22)	(2.556501e+01 3.330480e-03 0.000000e+00)	(-8.068706e-03 5.100968e-04 7.541758e-22)
22.8          	(2.554776e+01 3.954304e-03 7.537466e-22)	(2.555591e+01 3.443725e-03 0.000000e+00)	(-8.153634e-03 5.105789e-04 7.537466e-22)
22.825        	(2.553791e+01 3.855812e-03 7.533101e-22)	(2.554615e+01 3.345024e-03 0.000000e+00)	(-8.240207e-03 5.107877e-04 7.533101e-22)
22.85         	(2.552858e+01 3.977737e-03 7.528770e-22)	(2.553691e+01 3.466354e-03 0.000000e+00)	(-8.327629e-03 5.113830e-04 7.528770e-22)
22.875        	(2.551845e+01 3.862512e-03 7.524398e-22)	(2.552687e+01 3.351064e-03 0.000000e+00)	(-8.416999e-03 5.114482e-04 7.524398e-22)
22.9          	(2.550881e+01 4.009681e-03 7.520150e-22)	(2.551731e+01 3.497664e-03 0.000000e+00)	(-8.507835e-03 5.120169e-04 7.520150e-22)
22.925        	(2.549876e+01 3.925893e-03 7.515756e-22)	(2.550736e+01 3.413460e-03 0.000000e+00)	(-8.600172e-03 5.124334e-04 7.515756e-22)
22.95         	(2.548892e+01 4.025096e-03 7.511493e-22)	(2.549762e+01 3.511945e-03 0.000000e+00)	(-8.693912e-03 5.131510e-04 7.511493e-22)
22.975        	(2.547879e+01 3.903085e-03 7.507193e-22)	(2.548758e+01 3.389701e-03 0.000000e+00)	(-8.788984e-03 5.133834e-04 7.507193e-22)
23            	(2.546869e+01 3.966499e-03 7.502957e-22)	(2.547758e+01 3.452795e-03 0.000000e+00)	(-8.885318e-03 5.137037e-04 7.502957e-22)
23.025        	(2.545833e+01 3.816123e-03 7.498690e-22)	(2.546731e+01 3.302766e-03 0.000000e+00)	(-8.983405e-03 5.133577e-04 7.498690e-22)
23.05         	(2.544856e+01 4.111267e-03 7.494525e-22)	(2.545764e+01 3.596927e-03 0.000000e+00)	(-9.081895e-03 5.143401e-04 7.494525e-22)
23.075        	(2.543841e+01 3.806673e-03 7.490201e-22)	(2.544759e+01 3.292330e-03 0.000000e+00)	(-9.181360e-03 5.143424e-04 7.490201e-22)
23.1          	(2.542835e+01 4.059689e-03 7.486098e-22)	(2.543763e+01 3.544597e-03 0.000000e+00)	(-9.281832e-03 5.150928e-04 7.486098e-22)
23.125        	(2.541845e+01 3.802162e-03 7.481795e-22)	(2.542783e+01 3.287123e-03 0.000000e+00)	(-9.382841e-03 5.150399e-04 7.481795e-22)
23.15         	(2.540859e+01 4.048235e-03 7.477707e-22)	(2.541807e+01 3.532624e-03 0.000000e+00)	(-9.484479e-03 5.156110e-04 7.477707e-22)
23.175        	(2.539781e+01 3.880423e-03 7.473391e-22)	(2.540740e+01 3.364745e-03 0.000000e+00)	(-9.588080e-03 5.156780e-04 7.473391e-22)
23.2          	(2.538745e+01 4.064368e-03 7.469314e-22)	(2.539715e+01 3.547916e-03 0.000000e+00)	(-9.692919e-03 5.164511e-04 7.469314e-22)
23.225        	(2.537690e+01 3.831931e-03 7.465036e-22)	(2.538670e+01 3.315519e-03 0.000000e+00)	(-9.798880e-03 5.164113e-04 7.465036e-22)
23.25         	(2.536657e+01 4.031654e-03 7.460962e-22)	(2.537648e+01 3.514807e-03 0.000000e+00)	(-9.905559e-03 5.168475e-04 7.460962e-22)
23.275        	(2.535584e+01 3.866976e-03 7.456723e-22)	(2.536586e+01 3.350097e-03 0.000000e+00)	(-1.001331e-02 5.168791e-04 7.456723e-22)
23.3          	(2.534533e+01 4.045168e-03 7.452646e-22)	(2.535545e+01 3.527705e-03 0.000000e+00)	(-1.012190e-02 5.174630e-04 7.452646e-22)
23.325        	(2.533458e+01 3.912962e-03 7.448416e-22)	(2.534481e+01 3.395393e-03 0.000000e+00)	(-1.023156e-02 5.175687e-04 7.448416e-22)
23.35         	(2.532404e+01 4.164490e-03 7.444378e-22)	(2.533438e+01 3.645838e-03 0.000000e+00)	(-1.034186e-02 5.186524e-04 7.444378e-22)
23.375        	(2.531311e+01 3.866311e-03 7.440183e-22)	(2.532356e+01 3.347692e-03 0.000000e+00)	(-1.045326e-02 5.186182e-04 7.440183e-22)
23.4          	(2.530246e+01 4.151863e-03 7.436156e-22)	(2.531303e+01 3.632434e-03 0.000000e+00)	(-1.056538e-02 5.194288e-04 7.436156e-22)
23.425        	(2.529156e+01 3.838941e-03 7.431974e-22)	(2.530224e+01 3.319780e-03 0.000000e+00)	(-1.067840e-02 5.191606e-04 7.431974e-22)
23.45         	(2.528071e+01 4.137292e-03 7.428020e-22)	(2.529150e+01 3.617461e-03 0.000000e+00)	(-1.079216e-02 5.198304e-04 7.428020e-22)
23.475        	(2.527015e+01 3.883574e-03 7.423896e-22)	(2.528106e+01 3.363773e-03 0.000000e+00)	(-1.090608e-02 5.198005e-04 7.423896e-22)
23.5          	(2.525880e+01 4.126746e-03 7.419915e-22)	(2.526983e+01 3.606314e-03 0.000000e+00)	(-1.102128e-02 5.204311e-04 7.419915e-22)
23.525        	(2.524809e+01 3.879948e-03 7.415795e-22)	(2.525922e+01 3.359577e-03 0.000000e+00)	(-1.113704e-02 5.203710e-04 7.415795e-22)
23.55         	(2.523734e+01 4.099715e-03 7.411860e-22)	(2.524859e+01 3.578821e-03 0.000000e+00)	(-1.125289e-02 5.208938e-04 7.411860e-22)
23.575        	(2.522589e+01 3.944827e-03 7.407830e-22)	(2.523726e+01 3.423765e-03 0.000000e+00)	(-1.136998e-02 5.210617e-04 7.407830e-22)
23.6          	(2.521547e+01 4.079535e-03 7.403863e-22)	(2.522695e+01 3.557917e-03 0.000000e+00)	(-1.148672e-02 5.216175e-04 7.403863e-22)
23.625        	(2.520445e+01 3.990514e-03 7.399797e-22)	(2.521606e+01 3.468608e-03 0.000000e+00)	(-1.160403e-02 5.219059e-04 7.399797e-22)
23.65         	(2.519369e+01 4.031587e-03 7.395884e-22)	(2.520541e+01 3.509380e-03 0.000000e+00)	(-1.172177e-02 5.222066e-04 7.395884e-22)
