# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
29.025        	(1.573224e-04 7.280985e-01 1.454597e-05)	(1.469473e-04 5.342150e-01 -1.408128e-10)	(1.037511e-05 1.938835e-01 1.454612e-05)
29.05         	(1.594769e-04 7.280744e-01 1.449971e-05)	(1.487366e-04 5.342006e-01 -1.594637e-10)	(1.074025e-05 1.938737e-01 1.449987e-05)
29.075        	(1.600956e-04 7.280160e-01 1.445514e-05)	(1.489970e-04 5.341520e-01 -1.557700e-10)	(1.109861e-05 1.938640e-01 1.445529e-05)
29.1          	(1.599550e-04 7.279791e-01 1.440474e-05)	(1.485503e-04 5.341248e-01 -1.561938e-10)	(1.140466e-05 1.938542e-01 1.440490e-05)
29.125        	(1.625213e-04 7.279421e-01 1.435340e-05)	(1.508267e-04 5.340976e-01 -1.541552e-10)	(1.169463e-05 1.938444e-01 1.435356e-05)
29.15         	(1.664665e-04 7.279040e-01 1.430586e-05)	(1.544671e-04 5.340694e-01 -1.632046e-10)	(1.199934e-05 1.938346e-01 1.430602e-05)
29.175        	(1.666024e-04 7.278602e-01 1.424550e-05)	(1.542884e-04 5.340353e-01 -1.690204e-10)	(1.231396e-05 1.938249e-01 1.424567e-05)
29.2          	(1.698114e-04 7.278168e-01 1.418754e-05)	(1.571738e-04 5.340017e-01 -1.738621e-10)	(1.263759e-05 1.938151e-01 1.418772e-05)
29.225        	(1.713238e-04 7.277741e-01 1.412864e-05)	(1.583582e-04 5.339687e-01 -1.793292e-10)	(1.296559e-05 1.938054e-01 1.412882e-05)
29.25         	(1.731446e-04 7.277301e-01 1.406692e-05)	(1.598529e-04 5.339344e-01 -1.863008e-10)	(1.329170e-05 1.937957e-01 1.406710e-05)
29.275        	(1.747580e-04 7.276883e-01 1.400416e-05)	(1.611416e-04 5.339023e-01 -1.904973e-10)	(1.361638e-05 1.937860e-01 1.400436e-05)
29.3          	(1.764557e-04 7.276451e-01 1.394002e-05)	(1.625172e-04 5.338688e-01 -1.974648e-10)	(1.393846e-05 1.937764e-01 1.394022e-05)
29.325        	(1.778689e-04 7.276023e-01 1.387407e-05)	(1.636102e-04 5.338356e-01 -2.021262e-10)	(1.425862e-05 1.937667e-01 1.387427e-05)
29.35         	(1.800535e-04 7.275607e-01 1.380756e-05)	(1.654724e-04 5.338036e-01 -2.081308e-10)	(1.458109e-05 1.937571e-01 1.380777e-05)
29.375        	(1.814223e-04 7.275175e-01 1.373922e-05)	(1.665209e-04 5.337700e-01 -2.134335e-10)	(1.490136e-05 1.937475e-01 1.373943e-05)
29.4          	(1.831331e-04 7.274754e-01 1.366888e-05)	(1.679131e-04 5.337375e-01 -2.201391e-10)	(1.521999e-05 1.937379e-01 1.366910e-05)
29.425        	(1.845476e-04 7.274327e-01 1.359726e-05)	(1.690118e-04 5.337044e-01 -2.257956e-10)	(1.553578e-05 1.937283e-01 1.359748e-05)
29.45         	(1.858970e-04 7.273904e-01 1.352305e-05)	(1.700483e-04 5.336717e-01 -2.309625e-10)	(1.584868e-05 1.937187e-01 1.352328e-05)
29.475        	(1.877310e-04 7.273482e-01 1.344884e-05)	(1.715692e-04 5.336391e-01 -2.375655e-10)	(1.616180e-05 1.937092e-01 1.344908e-05)
29.5          	(1.894455e-04 7.273046e-01 1.337331e-05)	(1.729714e-04 5.336050e-01 -2.429377e-10)	(1.647409e-05 1.936996e-01 1.337355e-05)
29.525        	(1.900834e-04 7.272628e-01 1.329298e-05)	(1.733014e-04 5.335727e-01 -2.490761e-10)	(1.678198e-05 1.936901e-01 1.329323e-05)
29.55         	(1.922843e-04 7.272212e-01 1.321318e-05)	(1.751948e-04 5.335406e-01 -2.542098e-10)	(1.708950e-05 1.936806e-01 1.321343e-05)
29.575        	(1.931597e-04 7.271792e-01 1.313092e-05)	(1.757645e-04 5.335081e-01 -2.596833e-10)	(1.739517e-05 1.936711e-01 1.313118e-05)
29.6          	(1.947319e-04 7.271376e-01 1.304794e-05)	(1.770337e-04 5.334760e-01 -2.659442e-10)	(1.769819e-05 1.936616e-01 1.304820e-05)
29.625        	(1.964228e-04 7.270950e-01 1.296398e-05)	(1.784211e-04 5.334429e-01 -2.716758e-10)	(1.800168e-05 1.936521e-01 1.296425e-05)
29.65         	(1.971430e-04 7.270533e-01 1.287638e-05)	(1.788418e-04 5.334107e-01 -2.763544e-10)	(1.830124e-05 1.936427e-01 1.287665e-05)
29.675        	(1.991241e-04 7.270118e-01 1.278912e-05)	(1.805253e-04 5.333785e-01 -2.824978e-10)	(1.859888e-05 1.936332e-01 1.278940e-05)
29.7          	(1.998971e-04 7.269701e-01 1.269877e-05)	(1.810021e-04 5.333462e-01 -2.880578e-10)	(1.889506e-05 1.936238e-01 1.269905e-05)
29.725        	(2.017046e-04 7.269284e-01 1.260777e-05)	(1.825135e-04 5.333140e-01 -2.933559e-10)	(1.919112e-05 1.936144e-01 1.260807e-05)
29.75         	(2.031693e-04 7.268865e-01 1.251558e-05)	(1.836823e-04 5.332814e-01 -2.983404e-10)	(1.948695e-05 1.936050e-01 1.251587e-05)
29.775        	(2.031412e-04 7.268444e-01 1.241751e-05)	(1.833662e-04 5.332487e-01 -3.055729e-10)	(1.977491e-05 1.935957e-01 1.241782e-05)
29.8          	(2.056918e-04 7.268038e-01 1.232351e-05)	(1.856300e-04 5.332175e-01 -3.100093e-10)	(2.006178e-05 1.935863e-01 1.232382e-05)
29.825        	(2.059873e-04 7.267621e-01 1.222459e-05)	(1.856394e-04 5.331851e-01 -3.152786e-10)	(2.034790e-05 1.935770e-01 1.222490e-05)
29.85         	(2.078602e-04 7.267212e-01 1.212558e-05)	(1.872270e-04 5.331535e-01 -3.207293e-10)	(2.063315e-05 1.935676e-01 1.212590e-05)
29.875        	(2.095029e-04 7.266793e-01 1.202653e-05)	(1.885829e-04 5.331210e-01 -3.263850e-10)	(2.092000e-05 1.935583e-01 1.202685e-05)
29.9          	(2.085903e-04 7.266379e-01 1.191832e-05)	(1.873943e-04 5.330889e-01 -3.322845e-10)	(2.119596e-05 1.935490e-01 1.191865e-05)
29.925        	(2.115674e-04 7.265975e-01 1.181597e-05)	(1.900962e-04 5.330578e-01 -3.365470e-10)	(2.147112e-05 1.935397e-01 1.181631e-05)
29.95         	(2.115278e-04 7.265561e-01 1.170946e-05)	(1.897822e-04 5.330256e-01 -3.421262e-10)	(2.174562e-05 1.935305e-01 1.170981e-05)
